num_distr,mouse.time,mouse.clicked_name,,,,,
5,1.472360868,['target',,,,,
5,0.945297557,['target',,,,,
5,1.135472087,['target',,,,,
5,1.373300069,['target',,,,,
5,0.835839241,['target',,,,,
5,1.06989412,['target',,,,,
5,1.305807644,['target',,,,,
5,1.202756636,['target',,,,,
5,1.129150689,['target',,,,,
5,1.420713309,['target',,,,,
5,1.092586605,['target',,,,,
5,1.294525274,['target',,,,,
5,1.036278177,['target',,,,,
5,1.331795208,['target',,,,,
5,1.511355259,['target',,,,,
5,1.462202628,['target',,,,,
5,1.082787198,['target',,,,,
5,1.184985867,['target',,,,,
5,1.173964694,['target',,,,,
5,1.432631142,['target',,,,,
5,1.436844931,['target',,,,,
5,2.7683765,['target',,,,,
5,1.6842207,['target',,,,,
5,2.2149991,['target',,,,,
5,1.9495201,['target',,,,,
5,1.6006995,['target',,,,,
5,2.1824487,['target',,,,,
5,1.6111816,['target',,,,,
5,2.1096618,['target',,,,,
5,2.1446474,['target',,,,,
5,2.7597713,['target',,,,,
5,1.5473375,['target',,,,,
5,2.1109023,['target',,,,,
5,1.8819549,['target',,,,,
5,1.610618,['target',,,,,
5,1.5118525,['target',,,,,
5,2.3055116,['target',,,,,
5,1.5138815,['target',,,,,
5,1.8301876,['target',,,,,
5,2.0275433,['target',,,,,
5,1.478489,['target',,,,,
5,1.7118587,['target',,,,,
5,1.4126809,['target',,,,,
5,8.6313954,['target',,,,,
5,2.1608301,['target',,,,,
5,1.307143,['target',,,,,
5,1.6950436,['target',,,,,
5,2.0843222,['target',,,,,
5,1.9269525,['target',,,,,
5,1.7245325,['target',,,,,
5,1.1440174,['target',,,,,
5,1.9940256,['target',,,,,
5,1.3946563,['target',,,,,
5,1.9271524,['target',,,,,
5,1.7990077,['target',,,,,
5,1.63415,['target',,,,,
5,1.3621763,['target',,,,,
5,2.0397125,['target',,,,,
5,1.7329724,['target',,,,,
5,1.4998975,['target',,,,,
5,2.2104138,['target',,,,,
5,1.7939945,['target',,,,,
5,1.2334374,['target',,,,,
5,1.8957187,['target',,,,,
5,1.3241222,['target',,,,,
5,1.6525564,['target',,,,,
5,2.3521096,['target',,,,,
5,1.4106001,['target',,,,,
5,2.2105591,['target',,,,,
5,1.495214,['target',,,,,
5,1.6719579,['target',,,,,
5,1.7121125,['target',,,,,
5,1.5274622,['target',,,,,
5,2.1023608,['target',,,,,
5,1.9583068,['target',,,,,
5,1.8612584,['target',,,,,
5,1.4769728,['target',,,,,
5,1.5717603,['target',,,,,
5,1.7646574,['target',,,,,
5,1.8357762,['target',,,,,
5,1.2032554,['target',,,,,
5,1.5669262,['target',,,,,
5,2.2923883,['target',,,,,
5,2.1486956,['target',,,,,
5,2.3810647,['target',,,,,
5,2.6827066,['target',,,,,
5,1.6147299,['target',,,,,
5,2.0337028,['target',,,,,
5,1.705701,['target',,,,,
5,3.0254394,['target',,,,,
5,3.1482847,['target',,,,,
5,1.8079959,['target',,,,,
5,1.6256967,['target',,,,,
5,2.549038,['target',,,,,
5,1.6987503,['target',,,,,
5,1.3270935,['target',,,,,
5,3.2330103,['target',,,,,
5,1.4617491,['target',,,,,
5,2.1282899,['target',,,,,
5,1.4477852,['target',,,,,
5,2.0858598,['target',,,,,
5,2.1770741,['target',,,,,
5,1.4970852,['target',,,,,
5,3.444882,['target',,,,,
5,1.7106196,['target',,,,,
5,1.8487273,['target',,,,,
5,1.8780934,['target',,,,,
5,1.9641466,['target',,,,,
5,1.2500738,['target',,,,,
5,1.743268,['target',,,,,
5,2.0320196,['target',,,,,
5,2.1239757,['target',,,,,
5,1.8579679,['target',,,,,
5,2.4849256,['target',,,,,
5,3.3594963,['target',,,,,
5,1.5794251,['target',,,,,
5,1.660053,['target',,,,,
5,1.6567227,['target',,,,,
5,1.9256667,['target',,,,,
5,1.3285955,['target',,,,,
5,1.279036,['target',,,,,
5,2.6137122,['target',,,,,
5,2.5141345,['target',,,,,
5,1.952568,['target',,,,,
5,1.2653341,['target',,,,,
5,1.328658,['target',,,,,
5,1.1811175,['target',,,,,
5,1.3304401,['target',,,,,
5,1.1635419,['target',,,,,
5,1.4480256,['target',,,,,
5,1.2639018,['target',,,,,
5,1.0465615,['target',,,,,
5,1.0802956,['target',,,,,
5,1.2474205,['target',,,,,
5,1.1467886,['target',,,,,
5,1.8310096,['target',,,,,
5,1.5149466,['target',,,,,
5,1.4639121,['target',,,,,
5,1.4641347,['target',,,,,
5,1.7958933,['target',,,,,
5,1.5737829,['target',,,,,
5,1.2971845,['target',,,,,
5,1.2798848,['target',,,,,
5,1.913932,['target',,,,,
5,1.5152857,['target',,,,,
5,1.0777331,['target',,,,,
5,1.1650455,['target',,,,,
5,1.3810792,['target',,,,,
5,0.9319818,['target',,,,,
5,1.5473987,['target',,,,,
5,1.3158376,['target',,,,,
5,1.2638004,['target',,,,,
5,1.1648344,['target',,,,,
5,1.1972151,['target',,,,,
5,1.5653251,['target',,,,,
5,2.0141256,['target',,,,,
5,1.6808657,['target',,,,,
5,1.3472194,['target',,,,,
5,1.1299087,['target',,,,,
5,1.2983599,['target',,,,,
5,1.3326825,['target',,,,,
5,1.2478326,['target',,,,,
5,1.5326293,['target',,,,,
5,1.162922,['target',,,,,
5,1.5475852,['target',,,,,
5,1.2305643,['target',,,,,
5,0.9812758,['target',,,,,
5,1.4290057,['target',,,,,
5,1.0829735,['target',,,,,
5,1.3466896,['target',,,,,
5,1.4975919,['target',,,,,
5,1.6654499,['target',,,,,
5,1.16435,['target',,,,,
5,1.2137183,['target',,,,,
5,1.3820251,['target',,,,,
5,1.0477758,['target',,,,,
5,1.3140545,['target',,,,,
5,1.1110946,['target',,,,,
5,1.1985945,['target',,,,,
5,1.0807868,['target',,,,,
5,0.9985572,['target',,,,,
5,1.2804719,['target',,,,,
5,1.297415,['target',,,,,
5,1.2637602,['target',,,,,
5,1.4315961,['target',,,,,
5,2.2143478,['target',,,,,
5,1.3148516,['target',,,,,
5,1.6138883,['target',,,,,
5,1.5316383,['target',,,,,
5,1.2976188,['target',,,,,
5,1.0466123,['target',,,,,
5,1.4151196,['target',,,,,
5,1.1653696,['target',,,,,
5,1.13042,['target',,,,,
5,1.132596,['target',,,,,
5,1.2806822,['target',,,,,
5,1.1646276,['target',,,,,
5,1.2970658,['target',,,,,
5,1.0987643,['target',,,,,
5,1.2454462,['target',,,,,
5,1.1309375,['target',,,,,
5,1.3805923,['target',,,,,
5,1.3148457,['target',,,,,
5,1.4802776,['target',,,,,
5,1.1279022,['target',,,,,
5,1.0145308,['target',,,,,
5,1.6307653,['target',,,,,
5,1.1143936,['target',,,,,
5,1.1639204,['target',,,,,
5,1.9623365,['target',,,,,
5,1.2638887,['target',,,,,
5,1.1630712,['target',,,,,
5,1.2473938,['target',,,,,
5,1.2633285,['target',,,,,
5,1.2479917,['target',,,,,
5,1.3642506,['target',,,,,
5,1.6134786,['target',,,,,
5,1.1138669,['target',,,,,
5,1.2964344,['target',,,,,
5,0.9625643,['target',,,,,
5,1.1968119,['target',,,,,
5,1.3293179,['target',,,,,
5,1.1636275,['target',,,,,
5,1.2961388,['target',,,,,
5,0.9138066,['target',,,,,
5,1.2813177,['target',,,,,
5,1.3138841,['target',,,,,
5,1.032312,['target',,,,,
5,1.3809249,['target',,,,,
5,1.776934638,['target',,,,,
5,1.611126344,['target',,,,,
5,2.523523256,['target',,,,,
5,1.200510481,['target',,,,,
5,1.153629474,['target',,,,,
5,1.285578531,['target',,,,,
5,2.611736813,['target',,,,,
5,1.197892304,['target',,,,,
5,1.447027647,['target',,,,,
5,1.644232177,['target',,,,,
5,1.60851413,['target',,,,,
5,1.575452295,['target',,,,,
5,1.190177845,['target',,,,,
5,1.532480744,['target',,,,,
5,1.690179226,['target',,,,,
5,1.619130975,['target',,,,,
5,1.911824991,['target',,,,,
5,1.058247939,['target',,,,,
5,1.684288429,['target',,,,,
5,1.457131335,['target',,,,,
5,1.272918741,['target',,,,,
5,1.378605838,['target',,,,,
5,1.659124743,['target',,,,,
5,1.443804181,['target',,,,,
5,1.044775329,['target',,,,,
5,2.044449208,['target',,,,,
5,1.472257158,['target',,,,,
5,1.311220994,['target',,,,,
5,1.84260595,['target',,,,,
5,1.172708852,['target',,,,,
5,1.579917503,['target',,,,,
5,1.701548449,['target',,,,,
5,1.460178092,['target',,,,,
5,1.196831804,['target',,,,,
5,1.102071724,['target',,,,,
5,1.355526553,['target',,,,,
5,1.199469123,['target',,,,,
5,1.893614388,['target',,,,,
5,1.847352695,['target',,,,,
5,0.704696884,['target',,,,,
5,1.057618081,['target',,,,,
5,1.467612638,['target',,,,,
5,1.143575888,['target',,,,,
5,1.368299138,['target',,,,,
5,1.758446485,['target',,,,,
5,0.945352557,['target',,,,,
5,1.509748573,['target',,,,,
5,1.951451896,['target',,,,,
5,1.235964661,['target',,,,,
5,3.44807251,['target',,,,,
5,1.085969929,['target',,,,,
5,0.817962006,['target',,,,,
5,1.421178605,['target',,,,,
5,1.428348704,['target',,,,,
5,1.330301916,['target',,,,,
5,1.627023794,['target',,,,,
5,1.208713983,['target',,,,,
5,1.327362172,['target',,,,,
5,1.370435466,['target',,,,,
5,2.197768888,['target',,,,,
5,1.512385756,['target',,,,,
5,1.320535137,['target',,,,,
5,1.469369759,['target',,,,,
5,1.209140176,['target',,,,,
5,0.883792341,['target',,,,,
5,1.506101924,['target',,,,,
5,1.270679703,['target',,,,,
5,1.441037317,['target',,,,,
5,1.266733198,['target',,,,,
5,1.20813151,['target',,,,,
5,1.235939847,['target',,,,,
5,1.275436106,['target',,,,,
5,0.991426167,['target',,,,,
5,1.416908851,['target',,,,,
5,1.028804852,['target',,,,,
5,1.274905511,['target',,,,,
5,1.178430329,['target',,,,,
5,1.137246537,['target',,,,,
10,0.5275786,['target'],,,,,
10,0.4176179,['target'],,,,,
10,0.3787717,['target'],,,,,
10,0.3416389,['target'],,,,,
10,0.4028865,['target'],,,,,
10,0.3954189,['target'],,,,,
10,0.3369695,['target'],,,,,
10,0.3379607,['target'],,,,,
10,0.2986041,['target'],,,,,
10,0.4308107,['target'],,,,,
10,0.3693156,['target'],,,,,
10,0.3742963,['target'],,,,,
10,0.3746914,['target'],,,,,
10,0.3206651,['target'],,,,,
10,0.3297522,['target'],,,,,
10,0.384853,['target'],,,,,
10,0.3770337,['target'],,,,,
10,0.3448271,['target'],,,,,
10,0.3483221,['target'],,,,,
10,0.5674103,['target'],,,,,
10,0.3296653,['target'],,,,,
10,0.2769971,['target'],,,,,
10,0.3162825,['target'],,,,,
10,0.2871674,['target'],,,,,
10,0.5324488,['target'],,,,,
10,0.2268312,['target'],,,,,
10,0.2905316,['target'],,,,,
10,0.8750845,['target'],,,,,
10,0.319229,['target'],,,,,
10,0.299875,['target'],,,,,
10,0.2815505,['target'],,,,,
10,0.2970382,['target'],,,,,
10,1.1715721,['target'],,,,,
10,0.3625555,['target'],,,,,
10,0.3384819,['target'],,,,,
10,0.2867893,['target'],,,,,
10,0.3771467,['target'],,,,,
10,0.3203249,['target'],,,,,
10,0.3064456,['target'],,,,,
10,0.2468456,['target'],,,,,
10,0.2046432,['target'],,,,,
10,0.2068875,['target'],,,,,
10,0.3011111,['target'],,,,,
10,0.2608768,['target'],,,,,
10,0.3757764,['target'],,,,,
10,0.2528459,['target'],,,,,
10,0.2689121,['target'],,,,,
10,0.1839334,['target'],,,,,
10,0.2910221,['target'],,,,,
10,0.2946227,['target'],,,,,
10,0.2300417,['target'],,,,,
10,0.2353883,['target'],,,,,
10,0.3374574,['target'],,,,,
10,0.3012342,['target'],,,,,
10,0.3069567,['target'],,,,,
10,0.2610822,['target'],,,,,
10,0.3594711,['target'],,,,,
10,0.2168838,['target'],,,,,
10,0.3155575,['target'],,,,,
10,0.2919945,['target'],,,,,
10,0.3377361,['target'],,,,,
10,0.2524479,['target'],,,,,
10,0.3296126,['target'],,,,,
10,0.3020474,['target'],,,,,
10,0.3027568,['target'],,,,,
10,0.2976095,['target'],,,,,
10,0.3139763,['target'],,,,,
10,0.2606452,['target'],,,,,
10,0.2746618,['target'],,,,,
10,0.2423697,['target'],,,,,
10,1.0445075,['target'],,,,,
10,0.4012226,['target'],,,,,
10,0.2371604,['target'],,,,,
10,0.2820556,['target'],,,,,
10,0.3369779,['target'],,,,,
10,0.2943008,['target'],,,,,
10,0.2883734,['target'],,,,,
10,0.2596253,['target'],,,,,
10,0.3707524,['target'],,,,,
10,0.3308671,['target'],,,,,
10,0.3259253,['target'],,,,,
10,0.2623487,['target'],,,,,
10,0.3308659,['target'],,,,,
10,0.3100957,['target'],,,,,
10,0.2908307,['target'],,,,,
10,0.270608,['target'],,,,,
10,0.3259956,['target'],,,,,
10,0.2264161,['target'],,,,,
10,0.1914951,['target'],,,,,
10,0.2519166,['target'],,,,,
10,1.2902846,['target'],,,,,
10,0.2816683,['target'],,,,,
10,0.7353112,['target'],,,,,
10,0.4844676,['target'],,,,,
10,0.2516092,['target'],,,,,
10,0.2688508,['target'],,,,,
10,0.2387139,['target'],,,,,
10,0.2202821,['target'],,,,,
10,0.1423945,['target'],,,,,
10,0.2546553,['target'],,,,,
10,0.2510824,['target'],,,,,
10,0.2511505,['target'],,,,,
10,0.2723071,['target'],,,,,
10,0.3045623,['target'],,,,,
10,0.208334,['target'],,,,,
